기온,풍속,습도,증기압,이슬점온도,현지기압,전운량,중하층운량,지면온도,강수량3,강수량2,강수량1,강수량,강수량_n1
17.5,1.4,47,9.3,6,1000.5,0,0,15.3,0,0,0,0,0
16.2,1,57,10.4,7.6,1000.6,0,0,14.6,0,0,0,0,0
15.4,1.9,59,10.3,7.4,1000.3,0,0,13.9,0,0,0,0,0
14.9,1.8,61,10.3,7.4,1000.2,1,0,13.5,0,0,0,0,0
15.2,2.1,58,9.9,6.9,1000.3,1,0,14,0,0,0,0,0
15.1,2.6,58,9.9,6.8,1000.4,5,5,13.6,0,0,0,0,0
15,2.3,60,10.2,7.2,1000.5,2,2,13.6,0,0,0,0,0
16,3.3,57,10.3,7.4,1000.6,0,0,14.9,0,0,0,0,0
18.4,2.1,50,10.5,7.7,1000.8,0,0,21.4,0,0,0,0,0
20.3,2,42,9.9,6.9,1001.1,2,0,29,0,0,0,0,0
22.1,2.1,42,11.1,8.5,1001.1,2,0,33,0,0,0,0,0
24,2.4,35,10.4,7.5,1001.1,3,0,36.4,0,0,0,0,0
25.5,3.9,29,9.4,6.1,1001,4,0,37.5,0,0,0,0,0
26.1,4.4,27,9.1,5.6,1000.6,4,0,39.2,0,0,0,0,0
26.2,4.9,26,8.8,5.1,1000.3,5,3,38.2,0,0,0,0,0
26.1,4.1,26,8.7,5,1000.4,5,0,37.3,0,0,0,0,0
26.4,2.2,28,9.6,6.4,1000.2,5,0,36.2,0,0,0,0,0
26.3,2.9,28,9.5,6.3,1000.3,6,3,33.2,0,0,0,0,0
26,1.2,32,10.7,8,1000.3,5,0,29.7,0,0,0,0,0
25.3,1.1,33,10.6,7.8,1000.6,0,0,24.7,0,0,0,0,0
24.1,1.7,34,10.2,7.2,1000.9,0,0,21.7,0,0,0,0,0
23.5,1.8,38,10.9,8.3,1001.4,2,0,20.3,0,0,0,0,0
22.6,1.3,44,12,9.7,1002,0,0,19.3,0,0,0,0,0
21.7,1.4,47,12.1,9.8,1002.3,0,0,18.4,0,0,0,0,0
21.6,1.5,44,11.3,8.8,1002.5,2,0,18.2,0,0,0,0,0
20.9,1.2,46,11.3,8.8,1002.3,0,0,17.2,0,0,0,0,0
19.4,3.5,55,12.4,10.1,1002.1,0,0,16.7,0,0,0,0,0
18.2,3.8,63,13.1,11,1002.1,2,0,16.2,0,0,0,0,0
17.7,3.8,66,13.3,11.2,1002.3,0,0,15.8,0,0,0,0,0
17.4,3,66,13,10.9,1002.6,0,0,15.3,0,0,0,0,0
17.4,3.5,65,12.9,10.7,1003,1,1,15.7,0,0,0,0,0
18.3,4.2,57,11.9,9.6,1003.5,1,1,17.7,0,0,0,0,0
20.2,3.9,52,12.3,10,1003.7,1,0,23.8,0,0,0,0,0
21.3,4,45,11.3,8.8,1003.6,5,2,26.8,0,0,0,0,0
22.4,3.4,42,11.3,8.8,1003.2,7,6,27.5,0,0,0,0,2.5
21.2,2.2,49,12.3,10,1003.3,10,6,23.6,0,0,0,2.5,2
18.7,2.6,75,16.1,14.1,1003.9,10,6,20.7,0,0,2.5,2,2.5
18.2,3.6,84,17.5,15.4,1002.9,10,5,22.3,0,2.5,2,2.5,0
19.7,4.2,73,16.7,14.7,1002.1,10,3,23.7,2.5,2,2.5,0,0
21.4,3.6,67,17,15,1001.5,10,3,24.8,2,2.5,0,0,0
21.9,1.8,63,16.5,14.5,1001.6,10,6,24,2.5,0,0,0,0
21.8,3.2,64,16.6,14.6,1000.9,10,5,22.5,0,0,0,0,0
20.7,5.3,69,16.8,14.8,1000.7,10,6,20.9,0,0,0,0,14
18,1.5,93,19.1,16.8,1002,10,5,18.6,0,0,0,14,34
17.3,4.2,95,18.6,16.4,1003,10,3,17.6,0,0,14,34,0.5
17.5,3,89,17.7,15.6,1004.2,10,3,17.7,0,14,34,0.5,5
15.2,2.8,92,15.9,13.9,1004.7,10,2,16.3,14,34,0.5,5,0
15.6,3.3,93,16.4,14.4,1004.3,10,2,16.5,34,0.5,5,0,2
16.1,3.9,94,17.2,15.1,1004.2,10,2,16.7,0.5,5,0,2,2.5
15.7,3.9,94,16.7,14.7,1004.1,10,7,16.4,5,0,2,2.5,1.5
15.4,4.1,94,16.4,14.4,1004.1,10,7,16.2,0,2,2.5,1.5,0
15.5,2.7,93,16.3,14.3,1003.9,10,6,16.2,2,2.5,1.5,0,0
15.4,2.5,92,16.1,14.1,1003.6,10,6,16.2,2.5,1.5,0,0,0
15.6,2.6,89,15.7,13.7,1003.9,10,6,16,1.5,0,0,0,0.5
15.5,3.8,87,15.3,13.3,1004,10,6,16,0,0,0,0.5,0
16.1,3.5,84,15.3,13.3,1003.9,7,4,17.1,0,0,0.5,0,0
17.1,3.5,79,15.4,13.4,1004.3,9,4,18.6,0,0.5,0,0,0
18,4,70,14.4,12.4,1004.2,9,4,20,0.5,0,0,0,0
19.2,2.9,66,14.6,12.6,1004.7,7,5,21.5,0,0,0,0,0
20.9,2.4,65,16,14,1004.5,7,3,26.7,0,0,0,0,0
22.2,3.1,53,14.1,12.1,1004.1,6,6,30.7,0,0,0,0,0
22.7,2.7,54,14.9,12.9,1003.2,7,7,29.2,0,0,0,0,0
23.2,2.4,53,15,13,1002.5,9,9,28.1,0,0,0,0,0
23,1.8,57,16,14,1001.9,9,4,25,0,0,0,0,0
23.5,2.7,54,15.6,13.6,1001.3,8,5,24.9,0,0,0,0,0
23,4.2,53,14.8,12.8,1001.1,9,6,23.6,0,0,0,0,0.5
21.3,2.6,66,16.6,14.6,1001.8,10,8,20.3,0,0,0,0.5,3
19,0.3,89,19.5,17.1,1002.8,10,5,19.7,0,0,0.5,3,1
18,2.4,88,18.1,15.9,1003.2,10,7,18.9,0,0.5,3,1,1
17.2,2.9,86,16.8,14.8,1003.7,10,6,18.1,0.5,3,1,1,0
17.5,4.5,73,14.5,12.5,1004.1,10,6,17.4,3,1,1,0,0
17.3,4.4,69,13.6,11.5,1004.1,10,6,16.9,1,1,0,0,0
16.9,4.3,68,13,10.9,1003.8,8,8,16.2,1,0,0,0,0
16.7,4.2,67,12.7,10.5,1003.6,0,0,16,0,0,0,0,0
16.4,3.4,67,12.4,10.2,1003.3,0,0,15.7,0,0,0,0,0
16.2,4,66,12.1,9.8,1003.2,6,6,15.5,0,0,0,0,0
15.7,3.7,68,12.1,9.8,1002.7,3,3,14.9,0,0,0,0,0
15.3,3.6,70,12.1,9.8,1002.8,7,2,14.4,0,0,0,0,0
15.3,3.7,70,12.1,9.8,1002.9,7,2,14.7,0,0,0,0,0
16.1,3.8,67,12.2,9.9,1003,8,1,16.1,0,0,0,0,0
17.4,3.7,63,12.4,10.2,1002.9,8,2,19.2,0,0,0,0,0
17.9,4.5,63,12.9,10.7,1002.7,10,5,20.8,0,0,0,0,0
18.6,4.3,60,12.8,10.6,1002.3,9,5,21.7,0,0,0,0,0
18.7,3.9,60,12.9,10.7,1001.8,10,4,21.7,0,0,0,0,0
19.1,4.4,60,13.2,11.1,1001.4,10,4,22.4,0,0,0,0,0
18.9,3.2,66,14.4,12.4,1001,10,4,21.2,0,0,0,0,0.5
18,3.3,76,15.6,13.6,1000.5,10,6,19.4,0,0,0,0.5,0.5
18.2,2.5,76,15.8,13.8,999.4,10,6,19.3,0,0,0.5,0.5,3
